Name,Email,Gender,Age,Hours,Scores
Gilbert,gilbert_j_20@yahoo.com,Male,21,2.5,21
Jorge,jorge_89@gmail.com,Male,21,5.1,47
Olivia,olivia_21@yahoo.com,Female,21,3.2,27
Brian,brian@yahoo.com,Male,21,8.5,75
Roberto,roberto90@gmail.com,Male,21,3.5,30
Emily,emily_23@yahoo.com,Female,21,3.5,30
Ramon,ramon23@yahoo.com,Male,21,1.5,20
Miles,miles14@yell.co.uk,Female,21,9.2,88
Liam,liam91@dthk.co.uk,Male,21,5.5,60
,,,23,6.2,71
Nathani,nathaniel10@yahoo.com,Female,55,8.3,81
Ethan,ethan14_s@yahoo.com,Male,21,2.7,25
Robin,i_robin_25@gmail.com,,21,5.7,
Lewis,lewis11@yahoo.co.uk,Male,21,7.7,85
Milton,milton_92yell.co.uk,Female,21,5.9,62
Claude,claude.91@yahoo.com,Male,21,4.5,41
Joshua,joshua_28@gmail.com,Boy,21,3.3,42
Glen,glen_i@gmail.com,Male,89,1.1,17
Christopher,s.christopher_23@yahoo.com,Male,21,,78
Harvey,harvey_23@yahoo.com,Male,21,8.9,95
Blake,blake_28@hotmail.com,Male,21,2.5,30
Shanei,shanei_s_17@gmail.com,Female,21,1.9,24
Aaron,aaron_i_19@yahoo.com,Male,21,6.1,67
Arthur,i.arthur_29@gmail.com,Male,21,8.8,180
Marlin,marlin19yell.co.uk,Male,21,7.4,69
Paul,paul_23@gmail.com,Male,21,2.7,30
Jessica,jessica_19@yahoo.co.uk,Female,21,4.8,54
Walter,w.walter_23@rehlok.co.uk,Male,21,,
Harold,i.harold_02@hotmail.co.uk,Male,22,78,65
Hector,hector_k20@gmail.com,Male,21,3.8,35
Alexis,alexis16yell.co.uk,Male,21,6.9,76
Adrian,adrian_i_24@hotmail.com,Male,21,7.8,86
